file_name,on_screen_gaze_position,monitor_pixels
p02/day21/0008.jpg,"[296, 910]","[1280, 800]"
p02/day21/0014.jpg,"[1836, 729]","[1280, 800]"
p02/day21/0019.jpg,"[1425, 391]","[1280, 800]"
p02/day21/0020.jpg,"[1853, 862]","[1280, 800]"
p02/day21/0024.jpg,"[2809, 780]","[1280, 800]"
p07/day02/0006.jpg,"[1443, 9]","[1440, 900]"
p07/day02/0011.jpg,"[927, 954]","[1440, 900]"
p07/day02/0036.jpg,"[1402, 1050]","[1440, 900]"
p07/day02/0039.jpg,"[1615, 323]","[1440, 900]"
p07/day02/0040.jpg,"[1376, 992]","[1440, 900]"
p07/day02/0042.jpg,"[593, 1033]","[1440, 900]"
p07/day02/0080.jpg,"[645, 991]","[1440, 900]"
p07/day02/0090.jpg,"[1568, 851]","[1440, 900]"
p07/day02/0092.jpg,"[1698, 172]","[1440, 900]"
p07/day02/0097.jpg,"[1469, 58]","[1440, 900]"
p07/day02/0098.jpg,"[1506, 119]","[1440, 900]"
p07/day04/0363.jpg,"[1605, 993]","[1440, 900]"
p07/day04/0369.jpg,"[1460, 283]","[1440, 900]"
p07/day04/0377.jpg,"[1807, 1028]","[1440, 900]"
p07/day04/0396.jpg,"[1640, 959]","[1440, 900]"
p07/day04/0414.jpg,"[1716, 428]","[1440, 900]"
p07/day04/0437.jpg,"[592, 1042]","[1440, 900]"
p07/day06/0012.jpg,"[1509, 49]","[1440, 900]"
p07/day06/0055.jpg,"[1724, 1042]","[1440, 900]"
p07/day06/0065.jpg,"[1313, 958]","[1440, 900]"
p07/day06/0080.jpg,"[1698, 685]","[1440, 900]"
p07/day06/0117.jpg,"[1052, 946]","[1440, 900]"
p07/day06/0130.jpg,"[1848, 160]","[1440, 900]"
p07/day06/0156.jpg,"[1899, 15]","[1440, 900]"
p07/day06/0159.jpg,"[1738, 485]","[1440, 900]"
p07/day06/0169.jpg,"[1767, 556]","[1440, 900]"
p07/day06/0180.jpg,"[388, 1050]","[1440, 900]"
p07/day06/0209.jpg,"[1826, 790]","[1440, 900]"
p07/day06/0250.jpg,"[1700, 870]","[1440, 900]"
p07/day06/0258.jpg,"[1866, 482]","[1440, 900]"
p07/day06/0279.jpg,"[1680, 738]","[1440, 900]"
p07/day06/0280.jpg,"[591, 1078]","[1440, 900]"
p07/day06/0303.jpg,"[1444, 443]","[1440, 900]"
p07/day07/0006.jpg,"[1814, 266]","[1440, 900]"
p07/day07/0010.jpg,"[514, 919]","[1440, 900]"
p07/day07/0029.jpg,"[1857, 887]","[1440, 900]"
p07/day07/0034.jpg,"[1297, 974]","[1440, 900]"
